Subset_length,Data_length,Min_IBI,Max_IBI,Min_Subset,Max_Subset,Mean_Subset,Median_Subset,Mode_Subset,SD_Subset,Skewness,Kurtosis,Avg_HR,RMS,NN50,pNN50
4070,7309,252,18000,600,1287,652.717199,636,627,61.76831328,3.715260701,20.86051772,92.56366914,66.04735523,535,13.14819366
4670,8044,254,37000,600,1219,660.7192719,647,619,53.26136464,1.98617364,8.772956673,91.33545744,41.24110917,424,9.081173699
2710,4433,251,3715,600,1300,729.5084871,674,608,145.2946286,1.877190368,3.104010427,84.78658923,179.4868172,1040,38.39055002
5615,6725,251,60000,600,1272,793.9178985,791,808,83.21979896,0.609469746,2.299908644,76.39074962,71.22451669,883,15.7285358
4493,6553,251,24000,600,1298,876.6975295,886,873,111.3850408,-0.15257246,0.127152069,69.62361271,109.834974,1631,36.30899377
1220,5321,251,37000,600,1230,651.5131148,623,605,90.62992926,3.78537993,15.74336173,93.31468045,108.1227351,176,14.43806399
6526,6664,258,39545,602,1226,922.5258964,930,928,93.27927755,-0.381507901,-0.040837085,65.75286665,53.34514668,1886,28.90421456
2236,3950,251,58642,600,1299,881.494186,897,939,119.0200234,-0.00900015,0.831322085,69.39531501,136.7298435,888,39.73154362
3832,5306,251,60000,600,1300,857.4788622,863,840,105.9079133,0.394863365,1.641388968,71.05507799,114.6797113,1052,27.46019316
3709,3905,435,8000,600,1129,832.2712321,842,844,79.50365026,-0.500482081,0.199024185,72.80321979,37.91812917,523,14.10463862
4141,4189,256,13000,600,1181,839.2504226,846,858,72.93091714,-0.496831082,0.486857552,72.07174598,36.48565332,511,12.34299517
635,6422,252,60000,600,1266,696.5322835,635,604,140.4777118,2.034645438,3.143017935,88.75591423,168.9046873,207,32.64984227
3893,4438,251,34000,602,1281,846.6742872,854,875,83.15897089,-0.294117719,0.000214734,71.59025835,56.62298913,870,22.35354573
3440,3987,251,1910,600,1284,886.2523256,898,915,80.82549704,-0.628042602,1.729649825,68.32165192,72.13844279,900,26.17039837
4820,7304,251,24000,600,1299,867.7074689,874,883,100.031555,-0.005750242,1.088204169,70.11740469,101.5462996,1608,33.36791866
3812,3825,273,33000,624,1190,854.4409759,858,847,76.65825111,-0.167785845,-0.214467833,70.80830558,43.11878475,816,21.41170297
1749,4620,251,60000,600,1299,734.1412236,676,654,149.6119277,1.855730422,2.928761765,84.36260919,189.5985401,784,44.85125858
2274,6098,251,42000,600,1298,660.9199648,638,607,83.90598575,3.973225889,19.75577434,91.81449623,103.2506316,302,13.28640563
6151,6218,252,9000,601,1182,819.7068769,819,817,75.64905332,0.001837893,0.204678983,73.8375702,35.78245244,716,11.64227642
7101,7169,256,14000,600,1126,799.2484157,786,737,89.02416494,0.398212,-0.553896116,75.98649329,33.97761276,759,10.69014085
3273,3527,251,18000,600,1245,898.4091048,910,940,89.85076463,-0.498396018,0.367388386,67.51181648,65.40018805,891,27.23105134
5922,5943,429,1372,603,1171,789.6553529,786,795,66.02035529,0.391109386,0.753813385,76.50888098,35.97077714,566,9.559196082
3219,4421,251,8000,600,1277,776.4697111,769,729,103.9288042,0.590461474,0.373524028,78.61598725,86.52813106,961,29.86326911
3520,6865,251,60000,600,1300,809.6630682,802,876,132.6134149,0.68107075,0.442082269,76.0165444,147.4192676,1611,45.78005115
