Index,Min IBI,Min Fil,Mean Fil,SDN,Median Fil,Max Fil,Max IBI,Category,Skewness,Kurtosis,Avg HR,RRMS,NN50,pNN50,Subset_length,Data_length
1,252,600,652.4181416,60.28949043,25.5424772,18000,1190,2,3.504546089,18.22105217,92.58577443,63.92493908,532,13.08089501,4068,7309
3,254,600,660.5997001,52.63646491,25.70213416,37000,1172,2,1.809461712,6.650679741,91.34447753,39.29192536,422,9.040274207,4669,8044
4,251,600,719.0120482,126.4575193,26.81440002,3715,1198,3,1.758010687,2.640189816,85.53067103,151.791979,975,36.72316384,2656,4433
5,251,600,792.8634416,80.3773689,28.15783091,60000,1191,2,0.296132222,0.726644998,76.4564587,63.44001999,866,15.46152473,5602,6725
6,251,600,874.9047406,108.5012076,29.57878869,24000,1197,3,-0.324901727,-0.281761399,69.72653371,103.2390795,1606,35.92037575,4472,6553
7,251,600,650.5763547,87.7009157,25.50639831,37000,1197,2,3.764101355,15.62732002,93.38727937,103.0011887,174,14.29745275,1218,5321
8,258,602,922.4362354,93.15266365,30.37163538,39545,1196,2,-0.389824641,-0.055353947,65.75788385,53.19245168,1884,28.88241607,6524,6664
9,251,600,876.3898459,111.3708127,29.60388228,58642,1199,3,-0.404079018,0.157798267,69.68945236,121.3463905,858,38.91156463,2206,3950
10,251,600,852.9553854,97.74874084,29.20539994,60000,1198,2,-0.09939502,0.418583485,71.32120108,96.36689966,999,26.3797201,3788,5306
11,435,600,832.2712321,79.50365026,28.84911146,8000,1129,2,-0.500482081,0.199024185,72.80321979,37.91812917,523,14.10463862,3709,3905
12,256,600,839.2504226,72.93091714,28.96981917,13000,1181,2,-0.496831082,0.486857552,72.07174598,36.48565332,511,12.34299517,4141,4189
13,252,600,693.1505547,134.299149,26.32775256,60000,1184,3,2.018381427,2.997224457,89.00917464,156.6757292,200,31.74603175,631,6422
14,251,602,846.5626927,82.87761132,29.09575042,34000,1188,2,-0.330140861,-0.153637517,71.59661803,55.7898773,869,22.33359034,3892,4438
15,251,600,885.5109234,79.21198404,29.75753557,1910,1198,2,-0.840640652,1.173339653,68.36303584,66.54227104,892,25.99067599,3433,3987
16,251,600,865.6533166,96.29927382,29.42198696,24000,1198,2,-0.278359173,0.414908016,70.23647413,93.57632547,1575,32.86042145,4794,7304
17,273,624,854.4409759,76.65825111,29.23082236,33000,1190,2,-0.167785845,-0.214467833,70.80830558,43.11878475,816,21.41170297,3812,3825
18,251,600,722.3064327,128.8045712,26.8757592,60000,1199,3,1.745703915,2.510219806,85.19401723,160.2838216,734,42.94909304,1710,4620
19,251,600,658.0742377,73.4621754,25.65295768,42000,1193,2,3.591961891,16.6485167,92.02669969,84.37181143,285,12.5994695,2263,6098
20,252,601,819.7068769,75.64905332,28.63052352,9000,1182,2,0.001837893,0.204678983,73.8375702,35.78245244,716,11.64227642,6151,6218
21,256,600,799.2484157,89.02416494,28.27098187,14000,1126,2,0.398212,-0.553896116,75.98649329,33.97761276,759,10.69014085,7101,7169
22,251,600,897.8013468,88.80377385,29.96333337,18000,1187,2,-0.592154787,0.161434239,67.54615823,60.07731292,884,27.06674832,3267,3527
23,429,603,789.6553529,66.02035529,28.10080698,1372,1171,2,0.391109386,0.753813385,76.50888098,35.97077714,566,9.559196082,5922,5943
24,251,600,775.8982893,102.7151766,27.85495089,8000,1179,3,0.516099738,0.038392633,78.65334622,84.04719094,956,29.74486621,3215,4421
25,251,600,804.221519,124.2038791,28.35879967,60000,1199,3,0.437402422,-0.282447296,76.36565739,133.2157011,1560,44.89208633,3476,6865
26,252,600,807.6771259,97.59659788,28.4196609,60000,1190,2,0.159573425,0.091325806,75.39811095,58.08198029,1420,26.36954503,5386,6012
27,251,600,716.6837711,73.81206649,26.77095013,49000,1187,2,1.186122658,2.521958206,84.53769584,59.6543711,909,18.51323829,4911,6069
28,251,600,674.3568504,73.40766416,25.96838174,55000,1194,2,2.826742509,12.01816295,89.82208742,81.11233041,608,19.15563957,3175,5976
29,251,601,849.0811277,75.28515612,29.13899668,13000,1188,2,-0.203019037,0.394289675,71.24619017,44.41966622,1229,17.68090922,6952,7185
30,251,600,789.3029917,81.70376436,28.09453669,18000,1180,2,0.376425615,0.945734803,76.82932121,74.47678903,894,28.46227316,3142,3512
31,251,600,887.6585127,97.18180695,29.79359852,35000,1191,2,-0.507040172,0.066379359,68.48418271,76.30804796,1505,29.45781953,5110,6122
32,252,600,673.0871711,54.68076578,25.94392359,28000,1186,2,2.289532385,14.39952952,89.66272258,43.60959348,162,5.330700888,3040,4666
33,251,609,915.0837616,101.3649239,30.25035143,14000,1195,3,-0.044440286,-0.572623615,66.40206988,54.45641861,1921,26.68796888,7199,7393
34,251,600,696.148318,63.65420581,26.38462276,1231,1142,2,1.066567076,2.168691156,86.86281737,37.23059763,222,8.489483748,2616,3391
35,261,600,769.9848202,66.71951271,27.74860033,18000,1050,2,-0.328539126,-0.254060965,78.53812856,29.66531028,332,8.84389984,3755,3879
36,251,600,650.5763547,87.7009157,25.50639831,37000,1197,2,3.764101355,15.62732002,93.38727937,103.0011887,174,14.29745275,1218,5321
38,251,600,687.8840796,102.6834431,26.22754429,49000,1197,3,2.330603156,6.002796655,88.74082745,124.4515454,645,32.10552514,2010,8250
39,251,600,682.1057661,84.12924234,26.11715463,28000,1193,2,2.96139431,11.42193726,88.99677805,97.76329154,523,17.23796968,3035,6512
40,252,603,770.8181818,166.2801579,27.76361255,1727,1177,4,0.788011688,-0.608303803,81.03818848,182.4274685,23,71.875,33,3191
41,251,600,664.2259182,56.95880419,25.77258074,40000,1147,2,2.217943711,9.947417394,90.90969458,55.00703523,249,17.26768377,1443,3069
42,251,600,663.8483786,77.88455677,25.76525526,1812,1178,2,2.805920776,10.62746105,91.36251311,90.99700207,270,23.68421053,1141,4562
43,255,600,931.0871423,92.20037902,30.51372056,60000,1168,2,-0.460083055,-0.288557642,65.12106993,51.69016057,1515,28.1546181,5382,5523
44,251,600,702.9701926,66.30892686,26.51358506,52095,1092,2,0.593451911,0.386626351,86.08778392,36.81118119,249,6.569920844,3791,4657
45,291,602,792.3090445,69.8865848,28.14798473,37000,1101,2,0.08822467,-0.063419749,76.32592211,31.88257601,636,9.017439387,7054,7104
46,251,600,810.292501,146.8502279,28.4656372,58120,1199,3,0.66960409,-0.318038575,76.35993857,189.9886299,1606,63.07934014,2547,6965
47,254,600,794.0478781,99.60408599,28.17885516,20000,1141,2,0.308876599,-0.713508221,76.7450856,51.8992085,1456,26.41030292,5514,5645
48,253,601,828.4543719,99.26223389,28.78288331,60000,1169,2,0.189771074,-0.62805895,73.47462429,40.62325666,1361,17.32433809,7857,7908
49,251,600,838.6710126,98.10869371,28.95981721,58848,1196,2,0.165428478,1.175639552,72.55477774,111.9030983,1171,25.45098892,4602,7048
50,251,600,689.0599941,91.36390429,26.24995227,13000,1183,2,2.114277077,5.830732478,88.33301375,93.28586296,723,21.47950089,3367,6324
51,262,600,664.8549906,44.16938262,25.78478215,1127,1127,1,2.097352805,14.57658884,90.60809821,32.93488513,53,3.329145729,1593,2492
52,251,600,784.3767228,126.1948531,28.00672639,62515,1199,3,0.859281851,0.643952364,78.34516068,153.3174819,1007,51.43003064,1959,6088
53,251,602,776.7907762,107.2855345,27.87096655,8000,1196,3,1.025215511,1.439620267,78.60016659,120.0813726,338,38.06306306,889,2043
54,251,600,759.7148535,99.13495244,27.56292534,33000,1194,2,1.446236445,3.212413518,80.17058076,121.8418556,1330,33.04347826,4026,6999
55,257,600,722.8816814,71.22283664,26.88645907,60000,1176,2,0.920175533,2.004630527,83.76341225,44.22256606,336,8.72047755,3854,4225
56,251,600,815.2774674,109.8575597,28.55306406,59082,1199,3,0.607445463,0.792868057,74.89999496,131.8506231,1110,41.3561848,2685,4817
